movieId,directors,actor1,actor2,actor3,actor4,actor5
862,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn
8844,Joe Johnston,Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt
15602,Howard Deutch,Walter Matthau,Jack Lemmon,Ann-Margret,Sophia Loren,Daryl Hannah
31357,Forest Whitaker,Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines
11862,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern
949,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore
11860,Sydney Pollack,Harrison Ford,Julia Ormond,Greg Kinnear,Angie Dickinson,Nancy Marchand
45325,Peter Hewitt,Jonathan Taylor Thomas,Brad Renfro,Rachael Leigh Cook,Michael McShane,Amy Wright
9091,Peter Hyams,Jean-Claude Van Damme,Powers Boothe,Dorian Harewood,Raymond J. Barry,Ross Malinger
710,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker
9087,Rob Reiner,Michael Douglas,Annette Bening,Michael J. Fox,Martin Sheen,Anna Deavere Smith
12110,Mel Brooks,Leslie Nielsen,Mel Brooks,Amy Yasbeck,Peter MacNicol,Lysette Anthony
21032,Simon Wells,Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Phil Collins
10858,Oliver Stone,Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins
1408,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide
524,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles
4584,Ang Lee,Kate Winslet,Emma Thompson,Hugh Grant,Tom Wilkinson,Alan Rickman
5,Quentin Tarantino,Tim Roth,Antonio Banderas,Jennifer Beals,Madonna,Marisa Tomei
9273,Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton
11517,Joseph Ruben,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper
8012,Barry Sonnenfeld,John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina
