movieId,keywords
862,jealousy|toy|boy|friendship|friends|rivalry|boy next door|new toy|toy comes to life|
8844,board game|disappearance|based on children's book|new home|recluse|giant insect|
15602,fishing|best friend|duringcreditsstinger|old men|
31357,based on novel|interracial relationship|single mother|divorce|chick flick|
11862,baby|midlife crisis|confidence|aging|daughter|mother daughter relationship|pregnancy|contraception|gynecologist|
949,robbery|detective|bank|obsession|chase|shooting|thief|honor|murder|suspense|heist|betrayal|money|gang|cat and mouse|criminal mastermind|cult film|ex-con|heist movie|one last job|loner|bank job|neo-noir|gun fight|crime epic|
11860,paris|brother brother relationship|chauffeur|long island|fusion|millionaire|
45325,
9091,terrorist|hostage|explosive|vice president|
710,cuba|falsely accused|secret identity|computer virus|secret base|secret intelligence service|kgb|satellite|special car|cossack|electromagnetic pulse|time bomb|st. petersburg russia|ejection seat|red army|
9087,white house|usa president|new love|widower|wildlife conservation|
12110,dracula|spoof|
21032,wolf|dog-sledding race|alaska|dog|goose|bear attack|dog sled|frozen lake|
10858,usa president|presidential election|watergate scandal|biography|government|historical figure|
1408,exotic island|treasure|map|ship|scalp|pirate|
524,poker|drug abuse|1970s|overdose|illegal prostitution|
4584,bowling|based on novel|servant|country life|jane austen|inheritance|military officer|period drama|rainstorm|horse and carriage|decorum|
5,hotel|new year's eve|witch|bet|hotel room|sperm|los angeles|hoodlum|woman director|episode film|
9273,africa|indigenous|human animal relationship|bat|
11517,brother brother relationship|subway|new york city|new york subway|train robbery|
8012,gambling|miami|based on novel|job|murder|travel|mafia|money|debt|mobster|business|hollywood|gangster|crime|violence|drug|producer|con|
1710,police brutality|psychology|police operation|police protection|serial killer|psychologist|cowardliness|
9691,competition|assassination|cia|bank|cat|mexican standoff|seattle|hitman|mission of murder|hidden camera|rivalry|rescue|shootout|police chase|sniper rifle|silencer|double cross|caribbean|detroit michigan|
12665,dead animal|shot to death|teenage boy|held at gunpoint|teacher student relationship|albino|fainting|jacobs ladder|christ allegory|psionic power|healing power|looking pale|flickering light|extrasensory perception|
451,individual|prostitute|alcohol|casino|love at first sight|lovesickness|film producer|screenwriter|hotel room|dying and death|rage and hate|unsociability|alcoholism|los angeles|alcohol abuse|attempted suicide|
16420,shakespeare|jealousy|friends|moor|
9263,1970s|female friendship|coming of age|gynecologist|photocopier|truth or dare|woman director|
17015,captain|napoleonic wars|old flame|admiral|
902,clone|dream|island|eye|dystopia|aging|friendship|rescue|children|girl|childhood|
37557,servant|cabaret|shanghai|diva|uncle|mistress|umbrella|
9909,rap music|karate|high school|naval officer|teacher|amusement park|
63,schizophrenia|philadelphia|cassandra syndrom|stockholm syndrome|time travel|post-apocalyptic|dystopia|lethal virus|monkey|subterranean|
78802,
9598,sheep|pig|affection|piglet|heroism|talking animal|separation|german shepherd|grandson|talking pig|
47018,england|painter|conscientious objector|independent film|soldier|
687,prison|rape|socially deprived family|penalty|death penalty|despair|death row|begnadigung|therapist|self-discovery|prison cell|court case|death sentence|doomed man|sentence|lethal injection|forgiveness|charity|mercy petition|rage and hate|unsociability|right and justice|court|electric chair|cowardliness|
139405,
33689,orphan|identical twin|
9603,puberty|high school|make a match|spoiled child|gay interest|conflict|woman director|
34615,south africa|
31174,england|shakespeare|kidnapping|murder|king|
11443,money|loss of virginity|hiding in a dumpster|mercy killing|armored truck|crushed by a car|
35196,jealousy|medicine|fountain|court|wealth|spaniel|gloves|
9312,martial arts|monster|island|gore|sorcerer|tournament|violence|based on video game|hand to hand combat|
577,adultery|winter|obsession|television|new hampshire|narcissistic personality disorder|
11861,wedding vows|marriage proposal|married couple|monogamy|advice|marriage|quilt|love|family holiday|extramarital affair|grandmother|woman director|
807,self-fulfilling prophecy|detective|s.w.a.t.|drug dealer|evisceration|lust and impulsiveness|rage and hate|pride and vanity|immoderateness|insomnia|investigation|pension|police|serial killer|
10530,culture clash|settler|forbidden love|colony|musical|gold rush|princess|romance|native american|animation|virginia|star crossed lovers|reference to pizarro|jamestown virginia|pug dog|cross cultural relationship|musket|animate tree|indian chief|based on myths or folklore|17th century|shamanism|songs|indians vs. settlers|animal sidekick|powhatan|land claim|
8391,professor|lgbt|woman director|
629,law|relatives|theft|criminal|criminal mastermind|hungarian|sibling|
117164,
